index,street_raw,street,street_no,apartment_no
00760.jpg,so. flower,flower,-298,"cie
9/2"
00765.jpg,flowers,flower,219,217
00764.jpg,50. flower st,flower,248-250,"apt #
tall hoor"
00766.jpg,so. flower st.,flower,237,"306
409"
00761.jpg,"s. flower
n",flower,336,"205=
2
floor"
00756.jpg,s. flower,flower,336,"401 4-floor, front-"
00773.jpg,sd. fhower,flower,224,"apt. #
3"
00769.jpg,so. flower,flower,517-519,209
00772.jpg,"so, flower",flower,236,apt # 41
00767.jpg,so. flowej st.,flower,237,4057
00771.jpg,s. flower,flower,330,"56= 4th floor, (cnic"
00776.jpg,s. flower,flower,318,5. first floor conic
00770.jpg,s. flower,flower,306,3- 2nd floor eas/
00778.jpg,30 flower st,flower,244,"apt #3
i
2nd how"
00775.jpg,so. flower,flower,210,apt 506
00783.jpg,so. flower st,flower,248-250,"apt*i
21
ave"
00779.jpg,so. flower s,flower,245,419
00782.jpg,flower,flower,219,3-Mar
00774.jpg,s.flower,flower,"no.
318","ation
no floor ce
25. 2."
00787.jpg,flower se,flower,,5-May
00780.jpg,so. flower,flower,230,apt # 34
00792.jpg,"selower
s",flower,336,"210, 2nd floor."
00785.jpg,so.flower,flower,78,apt. 208
00794.jpg,bo.flower,flower,0.224,apt 33 11453
00784.jpg,so. flower st.,flower,237,"207
407"
00795.jpg,so. flower,flower,212/2 r,11460
00789.jpg,so. flower st,flower,248-250,"apt #2
20"
00791.jpg,so. flower st.,flower,245,4
00799.jpg,ilower.,flower,103,"toom no.1.
2nd floo"
00809.jpg,s. flower,flower,336,407 4th floor
00797.jpg,"so
flower",flower,103,room no. 2-2
00801.jpg,so. flower,flower,5/7-519,107
00788.jpg,"s. flower
s",flower,318,"15. 2nd floor, fron!"
00793.jpg,so. flower st.,flower,237,"nect
408"
00790.jpg,flower se,flower,672,201
00798.jpg,so. flower,flower,517-519,108
00811.jpg,"so.flo wer
st",flower,236,"apt # 23
3d res"
00805.jpg,so. flower,flower,224,"apt.
14"
00800.jpg,sp. flower sf,flower,lel,"114
eudu"
00813.jpg,s. flower.,flower,318,"ho
for the te"
00802.jpg,so.flower,flower,210,"24th
11970"
00810.jpg,so. flower st.,flower,223,
00806.jpg,so. flower st.,flower,goy,"2019
205"
00818.jpg,s. flower,flower,-318,"24, 2nd floor conte"
00808.jpg,flower f,flower,219,302
00817.jpg,"50.flower
st",flower,244,dasement
00803.jpg,so. flower st,flower,240,"apt. 7
basement"
00814.jpg,s. flower,flower,7ee,411= 4th floor
00816.jpg,s. flower,flower,308,"1107 80071 st b
da"
00822.jpg,"so. flower
s.t.",flower,248-250,"apt # 2
let the"
00820.jpg,"s. flow cr
v",flower,336,"304, 3rd floor"
00831.jpg,so. flower,flower,238,"apt.
*
3"
00821.jpg,flower sf,flower,,119
00832.jpg,s. flowcr,flower,336,"408,
4th floor"
00828.jpg,50. flower st,flower,248-250,apt s. basement
00825.jpg,so. flower,flower,517-519,"208
20 plool"
00827.jpg,so. flower st,flower,stroy,
00819.jpg,so. flower st.,flower,245,"50
413"
00829.jpg,so flower st.,flower,637,"307
607"
00815.jpg,s. flowpr,flower,308,19 2nd floor rear
00823.jpg,s. flower,flower,318,"32, 3r/floor con"
00834.jpg,flower,flower,219,9171
00844.jpg,so flower st.,flower,237,h
00845.jpg,s. flower,flower,306,"24, 3r9 floor."
00842.jpg,so. flower,flower,517-519,305
00841.jpg,flowers,flower,219,204
00839.jpg,flower,flower,219,501
